
Date:9/2/2010
Time:14:25:44
Output format: Text
Calculations precision: 256

Initial Quadrature
Quadrature Nodes
0.12294487259075428017894637047838	0.1272040498209555980041340566453	1.4665169683182550618170256996971	1
-0.12294487259075428018748617579349	0.12720404982095559800924710940169	-0.46651696831825506181482746195349	1
0.12294487259075428018197879798225	0.12720404982095559800147603109961	1.4665169683182550618208414648091	1
-0.12294487259075428018296028050034	0.12720404982095559800206545635283	-0.4665169683182550618205887502889	1
0.12294487259075428018232729841311	0.12720404982095559800117055363054	1.4665169683182550618212808011704	1
-0.12294487259075428018244023221768	0.12720404982095559800123856200512	-0.46651696831825506182125171521824	1
0.12294487259075428018236739652595	0.12720404982095559800113540505706	1.4665169683182550618213314357835	1
-0.12294487259075428018238040501738	0.12720404982095559800114325835502	-0.46651696831825506182132808466551	1
0.12294487259075428018237201509105	0.1272040498209555980011313565096	1.466516968318255061821337276914	1
-0.12294487259075428018237351495564	0.12720404982095559800113226406194	-0.46651696831825506182133689044835	1
0.12294487259075428018237254758327	0.12720404982095559800113088972758	1.4665169683182550618213379513082	1
-0.12294487259075428018237272067037	0.12720404982095559800113099468129	-0.46651696831825506182133790670017	1
0.12294487259075428018237260903129	0.12720404982095559800113083586123	1.466516968318255061821338029232	1
-0.12294487259075428018237262902228	0.12720404982095559800113084800656	-0.46651696831825506182133802407894	1
0.12294487259075428018237261612805	0.12720404982095559800113082963996	1.4665169683182550618213380382423	1
-0.1229448725907542801823726184387	0.12720404982095559800113083104629	-0.46651696831825506182133803764662	1
0.1229448725907542801823726169483	0.12720404982095559800113082892089	1.4665169683182550618213380392849	1
-0.12294487259075428018237261721556	0.12720404982095559800113082908382	-0.466516968318255061821338039216	1
0.12294487259075428018237261704317	0.12720404982095559800113082883772	1.4665169683182550618213380394056	1
-0.1229448725907542801823726170741	0.12720404982095559800113082885661	-0.46651696831825506182133803939765	1
0.12294487259075428018237261705415	0.12720404982095559800113082882809	1.4665169683182550618213380394196	1
-0.12294487259075428018237261705773	0.12720404982095559800113082883028	-0.46651696831825506182133803941868	1
0.12294487259075428018237261705542	0.12720404982095559800113082882698	1.4665169683182550618213380394212	1
-0.12294487259075428018237261705584	0.12720404982095559800113082882723	-0.46651696831825506182133803942112	1
0.12294487259075428018237261705557	0.12720404982095559800113082882685	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705562	0.12720404982095559800113082882688	-0.4665169683182550618213380394214	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882684	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
-0.12294487259075428018237261705559	0.12720404982095559800113082882683	-0.46651696831825506182133803942144	1
0.12294487259075428018237261705559	0.12720404982095559800113082882683	1.4665169683182550618213380394214	1
