
Date:3/2/2010
Time:16:18:51
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.05701892937	0.1500423863	0.3799229061	1.000000000
-0.05703609000	0.1500703648	-0.3800290029	1.000000000
0.05701834402	0.1499195352	0.3802458607	1.000000000
-0.05703552027	0.1499489480	-0.3803340978	1.000000000
0.05701788278	0.1498100057	0.3805337877	1.000000000
-0.05703501039	0.1498404075	-0.3806071322	1.000000000
0.05701751749	0.1497117436	0.3807920942	1.000000000
-0.05703455115	0.1497427951	-0.3808529117	1.000000000
0.05701722720	0.1496230956	0.3810251303	1.000000000
-0.05703413515	0.1496545362	-0.3810753282	1.000000000
0.05701699615	0.1495427162	0.3812364356	1.000000000
-0.05703375642	0.1495743448	-0.3812775674	1.000000000
0.05701681229	0.1494694994	0.3814289188	1.000000000
-0.05703341002	0.1495011597	-0.3814622616	1.000000000
0.05701666631	0.1494025276	0.3816049929	1.000000000
-0.05703309188	0.1494340980	-0.3816316052	1.000000000
0.05701655096	0.1493410331	0.3817666759	1.000000000
-0.05703279859	0.1493724189	-0.3817874418	1.000000000
0.05701646051	0.1492843690	0.3819156683	1.000000000
-0.05703252730	0.1493154963	-0.3819313315	1.000000000
0.05701639041	0.1492319861	0.3820534138	1.000000000
-0.05703227555	0.1492627975	-0.3820646037	1.000000000
0.05701633703	0.1491834151	0.3821811453	1.000000000
-0.05703204127	0.1492138663	-0.3821883978	1.000000000
0.05701629744	0.1491382530	0.3822999221	1.000000000
-0.05703182266	0.1491683098	-0.3823036962	1.000000000
0.05701626924	0.1490961512	0.3824106598	1.000000000
-0.05703161817	0.1491257878	-0.3824113501	1.000000000
0.05701625049	0.1490568072	0.3825141533	1.000000000
-0.05703142646	0.1490860043	-0.3825121013	1.000000000
0.05701623960	0.1490199570	0.3826110965	1.000000000
-0.05703124635	0.1490487005	-0.3826065984	1.000000000
0.05701623524	0.1489853689	0.3827020975	1.000000000
-0.05703107679	0.1490136491	-0.3826954118	1.000000000
0.05701623633	0.1489528393	0.3827876916	1.000000000
-0.05703091687	0.1489806498	-0.3827790444	1.000000000
0.05701624195	0.1489221879	0.3828683520	1.000000000
-0.05703076580	0.1489495252	-0.3828579418	1.000000000
0.05701625135	0.1488932552	0.3829444981	1.000000000
-0.05703062284	0.1489201178	-0.3829325000	1.000000000
0.05701626388	0.1488658988	0.3830165034	1.000000000
-0.05703048735	0.1488922872	-0.3830030721	1.000000000
0.05701627901	0.1488399919	0.3830847015	1.000000000
-0.05703035876	0.1488659080	-0.3830699742	1.000000000
0.05701629629	0.1488154206	0.3831493910	1.000000000
-0.05703023656	0.1488408673	-0.3831334897	1.000000000
0.05701631534	0.1487920828	0.3832108404	1.000000000
-0.05703012027	0.1488170641	-0.3831938738	1.000000000
0.05701633583	0.1487698865	0.3832692913	1.000000000
-0.05703000949	0.1487944070	-0.3832513567	1.000000000
0.05701635749	0.1487487485	0.3833249622	1.000000000
-0.05702990382	0.1487728134	-0.3833061466	1.000000000
0.05701638008	0.1487285935	0.3833780507	1.000000000
-0.05702980292	0.1487522084	-0.3833584323	1.000000000
0.05701640341	0.1487093531	0.3834287365	1.000000000
-0.05702970649	0.1487325241	-0.3834083856	1.000000000
0.05701642730	0.1486909652	0.3834771828	1.000000000
-0.05702961422	0.1487136984	-0.3834561629	1.000000000
0.05701645161	0.1486733731	0.3835235385	1.000000000
-0.05702952587	0.1486956748	-0.3835019068	1.000000000
0.05701647622	0.1486565250	0.3835679397	1.000000000
-0.05702944118	0.1486784018	-0.3835457480	1.000000000
0.05701650102	0.1486403735	0.3836105108	1.000000000
-0.05702935994	0.1486618318	-0.3835878061	1.000000000
0.05701652592	0.1486248751	0.3836513661	1.000000000
-0.05702928195	0.1486459214	-0.3836281910	1.000000000
0.05701655084	0.1486099898	0.3836906105	0.0000000000
Matrix from Quadrature
-0.5000000000	1.000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
