
Date:2/2/2010
Time:11:22:58
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
-32.85124837	-1.141938270	-0.5553588792	1.000000000
-8.533595100	-8.659483777	-165.2431623	1.000000000
-925.7990401	-54.70823363	3.964517221	1.000000000
482.4883739	-13.57029181	-3.462367775	1.000000000
17.06174591	1.860589193	-2.662379837	1.000000000
-1.891220018	8.661790771	-4.922203092	1.000000000
115.5832052	-47.02952154	3.992721457	1.000000000
2.313522101	10.28748718	-2.599356121	1.000000000
93.84269086	-7.504820550	1.538397384	1.000000000
1.118860800	-7.525749042	5.500521787	1.000000000
16.29785190	-2.285355852	2.927779955	1.000000000
0.2301407768	-15.05533974	-4.633966202	1.000000000
-8.032375819	-2.353848896	-1.822696934	1.000000000
-0.3432302154	17.41972373	-4.930685960	1.000000000
-4.452877501	2.131871586	6.987232749	1.000000000
-5.342809679	-54.76373985	-7.663393260	1.000000000
-2.709470515	-0.3673152117	-0.6152846405	1.000000000
-0.04390643751	-0.7405914425	1.621576017	1.000000000
-3.258559394	1.450380012	-3.061655949	1.000000000
-0.5810391695	-23.03407169	5.494436297	1.000000000
-75.22790349	17.85361328	-4.824241057	1.000000000
1.579351320	-20.66074266	2.862330495	1.000000000
1.866495986	0.2024114249	-1.280005628	1.000000000
0.4121483654	-10.61495615	16.84239036	1.000000000
59.27707835	-53.42364923	3.722384940	1.000000000
38.39477413	-67.73373805	-10.26707373	1.000000000
49.14774160	3.030733430	21.75480107	1.000000000
64.45418485	-1539.059336	-68.17002103	1.000000000
514.9295972	22.67882343	34.71974358	1.000000000
0.3710651969	-1185.404475	-33.72339578	1.000000000
1.768509249	0.05900191933	-0.9583779753	1.000000000
0.01418534295	-2.901988968	2.611472701	1.000000000
-1.433674250	0.6090848269	4.580572332	1.000000000
0.5922113500	-10.52408195	-3.005880409	1.000000000
4.773692999	1.043169557	-2.057346584	1.000000000
0.2934685129	-3.003585512	1.826621412	1.000000000
