
Date:2/2/2010
Time:13:40:7
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
0.03312670613	0.05148928540	0.7879936289	1.000000000
-0.03539876375	0.03602357155	-0.7906167260	1.000000000
0.03425398257	0.05192434539	0.7861039324	1.000000000
-0.03500455232	0.03662982028	-0.7920119563	1.000000000
0.03636878310	0.05389794360	0.7856892316	1.000000000
-0.03573789312	0.03690699090	-0.7913739467	1.000000000
0.03645587555	0.05477038077	0.7917879651	1.000000000
-0.03686230056	0.03684846201	-0.7922718583	1.000000000
0.03492398088	0.05340156001	0.7980441727	1.000000000
-0.03663530199	0.03701711852	-0.7959824088	1.000000000
0.03538053588	0.05335059127	0.7948055767	1.000000000
-0.03627946853	0.03811706790	-0.7961155404	1.000000000
0.03820297775	0.05615617623	0.7881949060	1.000000000
-0.03726614573	0.03899709862	-0.7927098953	1.000000000
0.03930825954	0.05759421694	0.7948173038	1.000000000
-0.03815264786	0.03821109550	-0.7955264622	1.000000000
0.03694185622	0.05523136312	0.8075320890	1.000000000
-0.03762860530	0.03738363845	-0.8018391446	1.000000000
0.03555770153	0.05400343546	0.8045616793	1.000000000
-0.03739785676	0.03910566679	-0.7987371421	1.000000000
0.03891383484	0.05746439175	0.7888293494	1.000000000
-0.03846372968	0.04147238088	-0.7924776774	1.000000000
0.04316323744	0.06095177466	0.7929990733	1.000000000
-0.03919616741	0.03946516301	-0.7992956585	1.000000000
0.03935755457	0.05725194346	0.8176922799	1.000000000
-0.03851938272	0.03660565171	-0.8075553415	1.000000000
0.03357903285	0.05302475247	0.8202825478	1.000000000
-0.03831859901	0.03928614765	-0.8004277061	1.000000000
0.03774058262	0.05742378415	0.7860293654	1.000000000
-0.03949682844	0.04531803477	-0.7915114196	1.000000000
0.04959184523	0.06602143492	0.7793223223	1.000000000
-0.03992155569	0.04035092315	-0.8027723869	1.000000000
0.04220379549	0.05953117999	0.8328357374	1.000000000
-0.03923448910	0.03381560904	-0.8129868571	1.000000000
0.02791239565	0.04961491830	0.8500257488	1.000000000
-0.03953815251	0.03722082919	-0.8040499665	1.000000000
0.03107868383	0.05380279021	0.7804960097	1.000000000
-0.04043177702	0.05178833516	-0.7893377325	1.000000000
0.06005927212	0.07342439735	0.7393578086	1.000000000
-0.03936910288	0.03969526569	-0.8049531969	1.000000000
0.04516496655	0.06274561769	0.8559320444	1.000000000
-0.04054028950	0.02876768278	-0.8176136395	1.000000000
0.01691418809	0.04329765471	0.8952237779	1.000000000
-0.04171382366	0.02981403232	-0.8136761547	1.000000000
0.01354783667	0.04269846310	0.8230758009	1.000000000
